reviewScore,genres,runtime,name,titleId
7.8,"Animation,Action,Adventure",100 min,The Lego Movie,tt1490017
7.2,"Action,Crime,Thriller",132 min,The Equalizer,tt0455944
7.9,"Animation,Action,Adventure",102 min,How to Train Your Dragon 2,tt1646971
7.0,"Action,Mystery,Thriller",106 min,Non-Stop,tt2024469
6.2,"Action,Crime,Sci-Fi",117 min,RoboCop,tt1234721
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
7.2,"Action,Adventure,Sci-Fi",130 min,Iron Man 3,tt1300854
7.6,"Action,Adventure,Mystery",146 min,The Hunger Games: Catching Fire,tt1951264
7.0,"Action,Adventure,Horror",116 min,World War Z,tt0816711
8.1,"Biography,Drama,History",134 min,12 Years a Slave,tt2024544
7.1,"Action,Adventure,Fantasy",112 min,Thor: The Dark World,tt1981115
8.1,"Crime,Drama,Mystery",153 min,Prisoners,tt1392214
7.0,"Action,Adventure,Sci-Fi",131 min,Pacific Rim,tt1663662
8.0,"Drama,Romance,Sci-Fi",126 min,Her,tt1798709
6.6,"Action,Drama,Sci-Fi",109 min,Elysium,tt1535108
6.7,"Action,Adventure,Sci-Fi",126 min,The Wolverine,tt1430132
7.0,"Comedy,Crime",110 min,We're the Millers,tt1723121
6.7,"Comedy,Fantasy",107 min,This Is the End,tt1245492
7.1,"Action,Crime,Thriller",130 min,Fast & Furious 6,tt1905041
7.3,"Animation,Adventure,Comedy",104 min,Monsters University,tt1453405
5.9,"Comedy,Crime",100 min,The Hangover Part III,tt1951261
7.6,"Action,Biography,Drama",121 min,Lone Survivor,tt1091191
6.6,"Action,Comedy,Crime",103 min,Kick-Ass 2,tt1650554
7.0,"Action,Comedy,Sci-Fi",109 min,The World's End,tt1213663
6.9,"Comedy,Horror,Romance",98 min,Warm Bodies,tt1588173
8.5,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.5,"Drama,Western",165 min,Django Unchained,tt1853728
7.9,"Adventure,Fantasy",169 min,The Hobbit: An Unexpected Journey,tt0903624
7.8,"Action,Adventure,Thriller",143 min,Skyfall,tt1074638
7.0,"Adventure,Mystery,Sci-Fi",124 min,Prometheus,tt1446714
7.0,"Action,Adventure",136 min,The Amazing Spider-Man,tt0948470
7.4,"Action,Crime,Drama",119 min,Looper,tt1276104
8.0,"Drama,Romance",102 min,The Perks of Being a Wallflower,tt1659337
7.0,"Horror,Mystery,Thriller",95 min,The Cabin in the Woods,tt1259521
7.8,"Animation,Adventure,Comedy",101 min,Wreck-It Ralph,tt1772341
7.3,"Drama,Thriller",138 min,Flight,tt1907668
7.6,"Drama,Musical,Romance",158 min,Les Misérables,tt1707386
6.3,"Action,Crime,Thriller",92 min,Taken 2,tt1397280
6.7,"Action,Adventure,Mystery",135 min,The Bourne Legacy,tt1194173
7.4,"Drama,History,Thriller",157 min,Zero Dark Thirty,tt1790885
6.4,"Comedy,Romance",83 min,The Dictator,tt1645170
7.1,"Sci-Fi,Thriller",84 min,Chronicle,tt1706593
6.3,"Action,Adventure,Mystery",118 min,Total Recall,tt1386703
6.2,"Comedy,Fantasy,Horror",113 min,Dark Shadows,tt1077368
7.3,"Crime,Drama,Thriller",140 min,The Place Beyond the Pines,tt1817273
8.1,"Adventure,Drama,Fantasy",130 min,Harry Potter and the Deathly Hallows: Part 2,tt1201607
7.8,"Action,Adventure,Sci-Fi",132 min,X-Men: First Class,tt1270798
8.6,"Biography,Comedy,Drama",112 min,The Intouchables,tt1675434
7.4,"Mystery,Sci-Fi,Thriller",105 min,Limitless,tt1219289
7.5,"Mystery,Romance,Sci-Fi",93 min,Source Code,tt0945513
7.4,"Comedy,Drama,Romance",118 min,"Crazy, Stupid, Love.",tt1570728
7.4,"Action,Adventure,Thriller",133 min,Mission: Impossible - Ghost Protocol,tt1229238
7.5,"Action,Adventure,Crime",129 min,Sherlock Holmes: A Game of Shadows,tt1515091
7.8,"Crime,Drama,Mystery",158 min,The Girl with the Dragon Tattoo,tt1568346
8.1,Drama,146 min,The Help,tt1454029
7.7,"Comedy,Fantasy,Romance",94 min,Midnight in Paris,tt1605783
7.3,"Action,Crime,Thriller",131 min,Fast Five,tt1596343
6.6,"Comedy,Romance",109 min,Friends with Benefits,tt1632708
7.1,"Action,Drama,Family",127 min,Real Steel,tt0433035
5.6,"Action,Adventure,Sci-Fi",114 min,Green Lantern,tt1133985
6.9,"Action,Mystery,Thriller",113 min,Unknown,tt1401152
6.8,"Action,Adventure,Drama",117 min,The Grey,tt1601913
6.1,"Action,Fantasy",110 min,Sucker Punch,tt0978764
7.0,"Adventure,Comedy,Sci-Fi",104 min,Paul,tt1092026
7.1,Drama,101 min,The Ides of March,tt1124035
reviewScore,genres,runtime,name,titleId
9.3,"Crime,Drama",142 min,The Shawshank Redemption,tt0111161
8.8,"Action,Adventure,Sci-Fi",148 min,Inception,tt1375666
8.9,"Crime,Drama",154 min,Pulp Fiction,tt0110912
8.8,"Adventure,Drama,Fantasy",178 min,The Lord of the Rings: The Fellowship of the Ring,tt0120737
8.9,"Adventure,Drama,Fantasy",201 min,The Lord of the Rings: The Return of the King,tt0167260
8.4,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.6,"Crime,Drama,Mystery",127 min,Se7en,tt0114369
8.5,"Action,Adventure,Drama",155 min,Gladiator,tt0172495
8.3,"Action,Adventure,Thriller",140 min,Batman Begins,tt0372784
8.6,"Action,Adventure,Fantasy",121 min,Star Wars: Episode IV - A New Hope,tt0076759
8.3,"Adventure,Drama,War",153 min,Inglourious Basterds,tt0361748
8.5,"Crime,Drama,Thriller",151 min,The Departed,tt0407887
8.5,"Drama,Mystery,Sci-Fi",130 min,The Prestige,tt0482571
8.8,"Action,Adventure,Fantasy",124 min,Star Wars: Episode V - The Empire Strikes Back,tt0080684
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
8.1,"Mystery,Thriller",138 min,Shutter Island,tt1130884
9.0,"Crime,Drama",202 min,The Godfather: Part II,tt0071562
8.2,"Action,Drama,Sci-Fi",132 min,V for Vendetta,tt0434409
7.8,"Drama,Romance",194 min,Titanic,tt0120338
8.6,"Crime,Drama,Thriller",110 min,Léon: The Professional,tt0110413
reviewScore,genres,runtime,name,titleId
9.3,"Crime,Drama",142 min,The Shawshank Redemption,tt0111161
8.8,"Action,Adventure,Sci-Fi",148 min,Inception,tt1375666
8.9,"Crime,Drama",154 min,Pulp Fiction,tt0110912
8.8,"Adventure,Drama,Fantasy",178 min,The Lord of the Rings: The Fellowship of the Ring,tt0120737
8.9,"Adventure,Drama,Fantasy",201 min,The Lord of the Rings: The Return of the King,tt0167260
8.4,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.6,"Crime,Drama,Mystery",127 min,Se7en,tt0114369
8.5,"Action,Adventure,Drama",155 min,Gladiator,tt0172495
8.3,"Action,Adventure,Thriller",140 min,Batman Begins,tt0372784
8.6,"Action,Adventure,Fantasy",121 min,Star Wars: Episode IV - A New Hope,tt0076759
8.3,"Adventure,Drama,War",153 min,Inglourious Basterds,tt0361748
8.5,"Crime,Drama,Thriller",151 min,The Departed,tt0407887
8.5,"Drama,Mystery,Sci-Fi",130 min,The Prestige,tt0482571
8.8,"Action,Adventure,Fantasy",124 min,Star Wars: Episode V - The Empire Strikes Back,tt0080684
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
8.1,"Mystery,Thriller",138 min,Shutter Island,tt1130884
9.0,"Crime,Drama",202 min,The Godfather: Part II,tt0071562
8.2,"Action,Drama,Sci-Fi",132 min,V for Vendetta,tt0434409
7.8,"Drama,Romance",194 min,Titanic,tt0120338
8.6,"Crime,Drama,Thriller",110 min,Léon: The Professional,tt0110413
reviewScore,genres,runtime,name,titleId
9.3,"Crime,Drama",142 min,The Shawshank Redemption,tt0111161
8.8,"Action,Adventure,Sci-Fi",148 min,Inception,tt1375666
8.9,"Crime,Drama",154 min,Pulp Fiction,tt0110912
8.8,"Adventure,Drama,Fantasy",178 min,The Lord of the Rings: The Fellowship of the Ring,tt0120737
8.9,"Adventure,Drama,Fantasy",201 min,The Lord of the Rings: The Return of the King,tt0167260
8.4,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.6,"Crime,Drama,Mystery",127 min,Se7en,tt0114369
8.5,"Action,Adventure,Drama",155 min,Gladiator,tt0172495
8.3,"Action,Adventure,Thriller",140 min,Batman Begins,tt0372784
8.6,"Action,Adventure,Fantasy",121 min,Star Wars: Episode IV - A New Hope,tt0076759
8.3,"Adventure,Drama,War",153 min,Inglourious Basterds,tt0361748
8.5,"Crime,Drama,Thriller",151 min,The Departed,tt0407887
8.5,"Drama,Mystery,Sci-Fi",130 min,The Prestige,tt0482571
8.8,"Action,Adventure,Fantasy",124 min,Star Wars: Episode V - The Empire Strikes Back,tt0080684
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
8.1,"Mystery,Thriller",138 min,Shutter Island,tt1130884
9.0,"Crime,Drama",202 min,The Godfather: Part II,tt0071562
8.2,"Action,Drama,Sci-Fi",132 min,V for Vendetta,tt0434409
7.8,"Drama,Romance",194 min,Titanic,tt0120338
8.6,"Crime,Drama,Thriller",110 min,Léon: The Professional,tt0110413
reviewScore,genres,runtime,name,titleId
7.8,"Action,Adventure,Sci-Fi",134 min,Black Panther,tt1825683
5.6,"Horror,Mystery,Sci-Fi",102 min,The Cloverfield Paradox,tt2548396
6.8,"Action,Adventure",118 min,Tomb Raider,tt1365519
6.8,"Action,Sci-Fi,Thriller",141 min,Maze Runner: The Death Cure,tt4500922
6.4,"Comedy,Fantasy,Romance",97 min,When We First Met,tt5783956
4.4,"Drama,Romance,Thriller",105 min,Fifty Shades Freed,tt4477536
6.5,"Action,Crime,Drama",105 min,The Commuter,tt1590193
5.4,"Mystery,Sci-Fi,Thriller",126 min,Mute,tt1464763
7.2,"Drama,History,Romance",164 min,Padmaavat,tt5935704
6.4,"Action,Drama",94 min,Braven,tt5001754
7.0,"Action,Drama,History",130 min,12 Strong,tt1413492
8.1,"Comedy,Drama,Romance",110 min,"Love, Simon",tt5164432
6.9,"Biography,Comedy",101 min,A Futile and Stupid Gesture,tt5566790
5.1,"Drama,History,Thriller",94 min,The 15:17 to Paris,tt6802308
8.4,"Biography,Comedy,Drama",140 min,Padman,tt7218518
7.7,"Comedy,Romance",138 min,Sonu Ke Titu Ki Sweety,tt7581902
6.3,"Animation,Adventure,Comedy",89 min,Early Man,tt4701724
7.4,"Action,Comedy,Crime",138 min,Thaanaa Serndha Koottam,tt6237966
6.8,"Horror,Thriller",98 min,Unsane,tt7153766
5.0,"Action,Drama",86 min,Acts of Violence,tt6684714
reviewScore,genres,runtime,name,titleId
7.8,"Action,Adventure,Sci-Fi",134 min,Black Panther,tt1825683
5.6,"Horror,Mystery,Sci-Fi",102 min,The Cloverfield Paradox,tt2548396
6.3,Comedy,110 min,Enes Batur Hayal mi Gerçek mi?,tt7668842
6.8,"Drama,Mystery,Thriller",140 min,Red Sparrow,tt2873282
7.4,"Comedy,Crime,Mystery",100 min,Game Night,tt2704998
6.0,"Action,Adventure,Sci-Fi",111 min,Pacific Rim: Uprising,tt2557478
6.4,"Comedy,Fantasy,Romance",97 min,When We First Met,tt5783956
4.4,"Drama,Romance,Thriller",105 min,Fifty Shades Freed,tt4477536
3.3,"Horror,Thriller",94 min,The Open House,tt7608028
7.2,"Drama,History,Romance",164 min,Padmaavat,tt5935704
4.2,"Adventure,Family,Fantasy",109 min,A Wrinkle in Time,tt1620680
6.9,"Action,Drama,History",130 min,12 Strong,tt1413492
8.1,"Comedy,Drama,Romance",110 min,"Love, Simon",tt5164432
6.6,"Action,Crime,Drama",107 min,Death Wish,tt1137450
8.2,"Animation,Adventure,Comedy",101 min,Isle of Dogs,tt5104604
6.5,"Animation,Adventure,Comedy",95 min,Peter Rabbit,tt5117670
5.1,"Drama,History,Thriller",94 min,The 15:17 to Paris,tt6802308
7.7,"Comedy,Romance",138 min,Sonu Ke Titu Ki Sweety,tt7581902
6.8,"Horror,Thriller",98 min,Unsane,tt7153766
6.3,"Animation,Adventure,Comedy",89 min,Early Man,tt4701724
reviewScore,genres,runtime,name,titleId
7.8,"Action,Adventure,Sci-Fi",134 min,Black Panther,tt1825683
5.6,"Horror,Mystery,Sci-Fi",102 min,The Cloverfield Paradox,tt2548396
6.3,Comedy,110 min,Enes Batur Hayal mi Gerçek mi?,tt7668842
6.8,"Drama,Mystery,Thriller",140 min,Red Sparrow,tt2873282
7.4,"Comedy,Crime,Mystery",100 min,Game Night,tt2704998
6.0,"Action,Adventure,Sci-Fi",111 min,Pacific Rim: Uprising,tt2557478
6.4,"Comedy,Fantasy,Romance",97 min,When We First Met,tt5783956
4.4,"Drama,Romance,Thriller",105 min,Fifty Shades Freed,tt4477536
3.3,"Horror,Thriller",94 min,The Open House,tt7608028
7.2,"Drama,History,Romance",164 min,Padmaavat,tt5935704
4.2,"Adventure,Family,Fantasy",109 min,A Wrinkle in Time,tt1620680
6.9,"Action,Drama,History",130 min,12 Strong,tt1413492
8.1,"Comedy,Drama,Romance",110 min,"Love, Simon",tt5164432
6.6,"Action,Crime,Drama",107 min,Death Wish,tt1137450
8.2,"Animation,Adventure,Comedy",101 min,Isle of Dogs,tt5104604
6.5,"Animation,Adventure,Comedy",95 min,Peter Rabbit,tt5117670
5.1,"Drama,History,Thriller",94 min,The 15:17 to Paris,tt6802308
7.7,"Comedy,Romance",138 min,Sonu Ke Titu Ki Sweety,tt7581902
6.8,"Horror,Thriller",98 min,Unsane,tt7153766
6.3,"Animation,Adventure,Comedy",89 min,Early Man,tt4701724
5.1,Comedy,83 min,Furlough,tt5291792
7.0,"Comedy,Drama,Thriller",73 min,Manyak,tt8053258
3.5,Horror,80 min,Bad Apples,tt7091300
7.2,"Comedy,Romance",116 min,Kalyanam,tt7594378
8.9,"Adventure,Comedy,Fantasy",107 min,Abnormal Attraction,tt4470288
2.3,Sci-Fi,94 min,Battalion,tt5207004
5.4,Thriller,112 min,Selfie,tt6260342
4.8,Drama,100 min,Con Man,tt6675400
7.7,Action,106 min,KL Special Force,tt7942708
6.7,"Mystery,Thriller",120 min,Vodka Diaries,tt6275262
8.5,"Action,Drama,Sport",96 min,Veneno,tt5467928
5.3,Comedy,100 min,Dügüm Salonu,tt8045670
2.6,"Comedy,Drama",118 min,Welcome to New York,tt7275232
3.7,"Crime,Drama",91 min,First We Take Brooklyn,tt5673714
9.6,"Comedy,Drama",99 min,Yowis Ben,tt8024712
6.4,Drama,117 min,Eiffel I'm in Love 2,tt7946644
5.0,Comedy,108 min,Walk Like a Panther,tt6962204
7.3,Comedy,94 min,Eighth Grade,tt7014006
7.9,"Drama,Family",125 min,Gayatri,tt7690466
9.0,Comedy,119 min,Spiele mit Bart: The Movie feat. Night Trap,tt7984730
3.6,Horror,88 min,Devil's Acid,tt6853910
4.1,Thriller,90 min,In the Cloud,tt7381444
5.4,Comedy,108 min,Step Sisters,tt5267472
7.2,"Comedy,Romance",133 min,Love Per Square Foot,tt7853242
4.8,"Action,Thriller",103 min,The Hurricane Heist,tt5360952
6.4,"Horror,Thriller",76 min,Devil's Tree: Rooted Evil,tt7315526
5.0,"Action,Adventure",90 min,Guardians of the Tomb,tt4915672
5.1,"Action,Sci-Fi",96 min,Scorched Earth,tt2392748
7.2,"Comedy,Drama,Thriller",95 min,Cebimdeki Yabanci,tt7862330
8.5,Drama,100 min,Scott and Sid,tt4702346
7.4,"Action,Drama,Thriller",139 min,Operation Red Sea,tt6878882
6.0,Drama,120 min,Mary Magdalene,tt5360996
6.0,"Drama,Fantasy,Romance",97 min,Every Day,tt7026672
5.1,"Action,Crime,Drama",157 min,Aiyaary,tt6774212
7.6,Crime,116 min,American Animals,tt6212478
4.7,Thriller,95 min,Relentless,tt3486210
6.7,Thriller,115 min,Sara's Notebook,tt6599742
5.2,"Comedy,Drama",,No Estoy Loca,tt4060006
4.9,"Fantasy,Thriller",85 min,The Ashram,tt5596104
3.0,Comedy,95 min,Benyamin Biang Kerok,tt8065772
6.3,Horror,93 min,The Night Eats the World,tt4266076
7.9,Comedy,157 min,GujjuBhai: Most Wanted,tt7790898
7.4,Drama,104 min,Wildlife,tt5929754
7.2,"Comedy,Music",,Heavy Trip,tt7220754
6.8,Comedy,96 min,Tully,tt5610554
6.8,"Biography,Comedy,Drama",113 min,"Don't Worry, He Won't Get Far on Foot",tt6288124
7.1,"Drama,History",108 min,"Paul, Apostle of Christ",tt7388562
4.7,"Drama,Thriller",105 min,The Neighbor,tt3905764
6.1,"Drama,Romance",91 min,Midnight Sun,tt4799066
5.5,"Crime,Drama,Thriller",107 min,7 Days in Entebbe,tt5466186
7.6,"Comedy,Drama",116 min,Hichki,tt6588966
7.1,Crime,125 min,Gangsta,tt6438030
8.5,"Sci-Fi,Thriller",150 min,Awe!,tt7797658
5.5,Drama,88 min,The Real Estate,tt6258766
6.8,Comedy,,O chyom govoryat muzhchiny. Prodolzhenie,tt8054150
6.1,Comedy,90 min,The Tribe,tt6708044
6.2,"Drama,History,Thriller",108 min,Backstabbing for Beginners,tt5153288
4.7,"Family,Sport",89 min,The Rocket,tt5181834
6.3,Comedy,100 min,Metti la nonna in freezer,tt6982104
9.2,Drama,106 min,Hey Ram Hamne Gandhi Ko maar Diya,tt7972674
2.2,"Horror,Thriller",84 min,The Terrible Two,tt5278886
8.6,"Crime,Mystery,Thriller",139 min,Ira,tt7601308
6.4,Romance,97 min,Not Cinderella's Type,tt7231572
7.2,Drama,,Sofra sirlari,tt5845758
8.2,"Action,Thriller",121 min,Mandy,tt6998518
1.7,"Action,Sci-Fi",85 min,Atlantic Rim: Resurrection,tt7963218
5.2,"Biography,Drama,Music",100 min,Veljeni vartija,tt6591616
6.4,Drama,150 min,Forever Young,tt2401825
5.0,"Action,Horror,Sci-Fi",85 min,The Lotus,tt3310896
4.3,"Drama,Fantasy,Horror",90 min,House of Demons,tt5886388
3.3,"Horror,Mystery",73 min,Selfie from Hell,tt5686622
3.9,Horror,92 min,Headgame,tt4518962
6.6,"Comedy,History",90 min,Return of the Hero,tt7064498
7.3,Drama,146 min,Hey Jude,tt6385856
8.1,"Biography,Drama",155 min,Aami,tt6689734
8.6,Action,,Tagaru,tt7938336
5.9,"Comedy,Fantasy,Sci-Fi",105 min,Sorry to Bother You,tt5688932
5.4,Comedy,149 min,Oru Nalla Naal Paarthu Soldren,tt7512624
6.7,Comedy,87 min,Sin rodeos,tt6981702
6.7,"Drama,Thriller",105 min,Çocuklar Sana Emanet,tt7748432
9.6,Drama,153 min,The Little God,tt8029242
7.9,Action,96 min,The Oscar Nominated Short Films 2018: Live Action,tt7935892
7.4,Drama,129 min,Burden,tt5314450
5.2,"Drama,Horror,Thriller",112 min,Lords of Chaos,tt4669296
6.9,Drama,101 min,Transit,tt6675244
7.8,Drama,113 min,Sunday's Illness,tt6053948
5.9,Comedy,91 min,Mannen van Mars,tt6868684
7.3,"Drama,Romance,Sci-Fi",85 min,Ederlezi Rising,tt5215088
6.8,Comedy,102 min,Amateurs,tt7893992
6.7,"Comedy,Drama",108 min,Pig,tt7429708
9.0,War,140 min,Sajjan Singh Rangroot,tt7762982
7.7,"Comedy,Drama",118 min,Thang Nam Ruc Ro,tt8081638
7.7,Drama,,Love for Sale,tt8065796
7.3,"Comedy,Drama,Family",120 min,Keys to the Heart,tt6985200
4.7,Comedy,100 min,Todo Mal,tt6131126
3.4,"Comedy,Drama,Horror",88 min,Hens Night,tt5176648
2.3,"Action,Thriller,War",110 min,Bordo Bereliler Afrin,tt7949178
3.2,Comedy,,Como va,tt5507934
6.2,"Drama,Horror,Mystery",105 min,Summer of 84,tt5774450
3.8,Thriller,86 min,A Deadly View,tt6792478
7.1,Drama,93 min,Die defekte Katze,tt7733426
7.3,Drama,112 min,Hadi Be Oglum,tt7628458
7.7,"Crime,Thriller",129 min,Street Lights,tt6680730
8.2,"Action,History,Thriller",118 min,Direnis Karatay,tt7336446
7.0,"Drama,Musical,Romance",113 min,Ice,tt5844488
4.5,"Action,Drama",110 min,Samson,tt6951892
8.3,Animation,102 min,The Legend of Muay Thai: 9 Satra,tt7717440
5.1,"Crime,Thriller",96 min,Bent,tt2237324
1.0,"Comedy,Fantasy",105 min,Badang,tt7923374
8.0,"Action,Adventure,Crime",,Trouble Is My Business,tt2243900
7.2,"Drama,War",123 min,Bankier van het Verzet,tt4610378
6.6,"Comedy,Thriller",112 min,Kaalakaandi,tt6102396
5.9,Drama,102 min,First Match,tt6061074
9.1,Horror,84 min,The Campus,tt6772946
7.2,"Comedy,Drama",149 min,Humble Politician Nograj,tt6577798
5.7,Drama,90 min,A Tale of Two Coreys,tt6998122
6.5,Horror,91 min,Ghostland,tt6195094
7.2,"Comedy,Drama,Romance",90 min,The Miseducation of Cameron Post,tt6257174
3.5,"Crime,Drama,Thriller",131 min,Hate Story IV,tt5325684
7.3,"Drama,Horror,Mystery",126 min,Hereditary,tt7784604
5.5,"Comedy,Romance",101 min,Agent Mr. Chan,tt7759626
7.5,Animation,85 min,La Leyenda del Charro Negro,tt6772418
8.3,"Action,Crime,Drama",95 min,Pickings,tt4789822
2.9,Fantasy,96 min,Babes with Blades,tt7656770
4.7,Horror,88 min,The Devil's Well,tt5987042
7.7,Drama,,National Theatre Live: Cat on a Hot Tin Roof,tt7510284
4.5,Comedy,131 min,Veerey Ki Wedding,tt7262178
6.2,Thriller,81 min,Piercing,tt6516314
9.4,Thriller,67 min,Shohrat the Trap,tt8085616
4.6,"Comedy,Romance",,Cómplices,tt4138254
7.8,"Action,Comedy,Sci-Fi",95 min,Upgrade,tt6499752
6.4,Thriller,93 min,Los Angeles Overnight,tt4374864
5.5,Comedy,82 min,(Girl)Friend,tt7491128
7.9,Biography,,Lee Chong Wei,tt7967954
8.0,Thriller,105 min,Profile,tt7826276
5.4,Drama,174 min,My Brother's Name Is Robert and He Is an Idiot,tt3552348
6.7,Comedy,118 min,River's Edge,tt7476946
6.0,Comedy,108 min,An Evening with Beverly Luff Linn,tt6518270
7.0,"Comedy,Romance",124 min,Dil Juunglee,tt6071752
5.9,"Comedy,Romance",,Yemaali,tt7920010
6.5,Comedy,90 min,Swingeri,tt7795376
7.6,Drama,108 min,Leave No Trace,tt3892172
5.8,Western,,Gone Are the Days,tt5503472
8.8,Western,,Wild Faith,tt5960386
6.5,"Animation,Comedy,Drama",98 min,Insect,tt5783476
5.5,"Action,Adventure,Comedy",101 min,Psychokinesis,tt6890582
8.6,Comedy,,Gulabjaam,tt8037610
7.2,"Biography,Drama,War",98 min,The Catcher Was a Spy,tt4602066
6.7,Drama,115 min,3 Days in Quiberon,tt6463494
8.2,Drama,95 min,And Breathe Normally,tt6776106
6.2,"Animation,Comedy,Family",85 min,Maya the Bee: The Honey Games,tt6685596
9.6,Drama,,Delaware Shore,tt6074834
6.7,"Comedy,Drama",,Talq Senaee,tt7833952
7.9,Drama,127 min,The Reports on Sarah and Saleem,tt7158582
4.7,Drama,90 min,#SquadGoals,tt6540984
7.6,"Action,Drama,Thriller",95 min,The Lost Strait,tt7897306
5.2,Thriller,90 min,Stalked by a Reality Star,tt8019044
2.2,Comedy,,La pena máxima,tt8007436
5.8,Drama,86 min,Tyrel,tt6729000
6.9,"Adventure,Drama",117 min,Till the End of the World,tt7962598
reviewScore,genres,runtime,name,titleId
7.8,"Action,Adventure,Sci-Fi",134 min,Black Panther,tt1825683
5.6,"Horror,Mystery,Sci-Fi",102 min,The Cloverfield Paradox,tt2548396
6.3,Comedy,110 min,Enes Batur Hayal mi Gerçek mi?,tt7668842
6.8,"Drama,Mystery,Thriller",140 min,Red Sparrow,tt2873282
7.4,"Comedy,Crime,Mystery",100 min,Game Night,tt2704998
6.0,"Action,Adventure,Sci-Fi",111 min,Pacific Rim: Uprising,tt2557478
6.4,"Comedy,Fantasy,Romance",97 min,When We First Met,tt5783956
4.4,"Drama,Romance,Thriller",105 min,Fifty Shades Freed,tt4477536
3.3,"Horror,Thriller",94 min,The Open House,tt7608028
7.2,"Drama,History,Romance",164 min,Padmaavat,tt5935704
4.2,"Adventure,Family,Fantasy",109 min,A Wrinkle in Time,tt1620680
6.8,"Biography,Comedy,Drama",113 min,"Don't Worry, He Won't Get Far on Foot",tt6288124
6.9,"Action,Drama,History",130 min,12 Strong,tt1413492
8.1,"Comedy,Drama,Romance",110 min,"Love, Simon",tt5164432
6.6,"Action,Crime,Drama",107 min,Death Wish,tt1137450
8.2,"Animation,Adventure,Comedy",101 min,Isle of Dogs,tt5104604
6.5,"Animation,Adventure,Comedy",95 min,Peter Rabbit,tt5117670
5.1,"Drama,History,Thriller",94 min,The 15:17 to Paris,tt6802308
7.7,"Comedy,Romance",138 min,Sonu Ke Titu Ki Sweety,tt7581902
6.8,"Horror,Thriller",98 min,Unsane,tt7153766
6.3,"Animation,Adventure,Comedy",89 min,Early Man,tt4701724
8.6,"Crime,Mystery,Thriller",139 min,Ira,tt7601308
6.4,Romance,97 min,Not Cinderella's Type,tt7231572
7.2,Drama,,Sofra sirlari,tt5845758
8.2,"Action,Thriller",121 min,Mandy,tt6998518
